Timestamp,"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
7/21/2019 18:03:48,Dog,Widget,Widget,5,Mini dachshund
7/21/2019 18:03:50,Dog,Stella Bo Bella,Stella,6.5,Mutt
7/21/2019 18:04:07,Dog,Tilly,Tills,13,Chocolate lab
7/21/2019 18:04:26,Dog,Peter Peter Pumpkin Eater,Petey,5ish,Pitbull
7/21/2019 18:04:30,Dog,Remy,Rem,1,Unknown
7/21/2019 18:04:35,Dog,Oreo,Oreo,7,Some kind of mix
7/21/2019 18:04:41,Dog,Ljus  (Swedish word for light),Ljus ,14 weeks,Golden Retriever
7/21/2019 18:04:52,Dog,Bambi,Bambs,3,Unknown
7/21/2019 18:05:05,Dog,Layla ‘The Tank’,Layla,3,Pitbull
7/21/2019 18:05:14,Dog,Benny and the Jets,Ben,1,Mastiff/Great Dane
7/21/2019 18:05:16,Dog,Milo,Milo,7,Bichon Frise
7/21/2019 18:05:21,Dog,Mocha,Mocha,3,Pitbull/Terrier mix
7/21/2019 18:05:22,Dog,Shadow,Shadow ,15 ½ ,Golden Retriever
7/21/2019 18:05:25,Dog,Luna,Luna,1,Great Pyrenees 
7/21/2019 18:05:33,Dog,Cody,Baby,13,Black lab/cocker spaniel mix
,,, Pookie,,
7/21/2019 18:05:50,Dog,Oatmeal,Oatmeal,7 months,Golden Retriever
7/21/2019 18:05:51,Dog,Ginger,Nugget ,10,Chihuahua 
7/21/2019 18:05:53,Dog,Starbuck Louise,Starbuck,4,Goldendoodle
7/21/2019 18:05:56,Dog,Mocha Antoinette,Mocha,7,Mutt
7/21/2019 18:06:05,Dog,Oscar ,Oscar ,10,Shepherd retriever mix
7/21/2019 18:06:21,Dog,Magnolia Mae,Noli,2.5,Great Pyrenees/Lab
7/21/2019 18:06:28,Dog,George Cooper,Georgie,2,Golden Retriever
7/21/2019 18:06:28,Dog,Cayenne,Cayenne,8,German Shepherd
7/21/2019 18:06:40,Dog,Olive Oil,Olive,2,Australian Shepherd
7/21/2019 18:06:45,Dog,Brook,Brookie,7,Golden Retriever
7/21/2019 18:06:46,Dog,Sparkie,Spark,4,Mutt
,,, Sparkie,,
,,, sparkle,,
7/21/2019 18:06:48,Dog,Max,Maxie,16,carin terrier/ kerry blue terrier/ keeshond
7/21/2019 18:06:49,Dog,Howard,Howie,10,American Staffordshire Terrier mix
7/21/2019 18:07:05,Dog,Ella Fitzgerald,Ella,12,Heinz 57
7/21/2019 18:07:14,Dog,Josephine Bakes,Josie,5,Pitbull/lab mix
7/21/2019 18:07:19,Dog,Lennie,Lennie,2,Treeing Tennessee Brindle 
7/21/2019 18:07:39,Dog,Cody James,Buddy,1.5 years,Golden Retriever
7/21/2019 18:07:44,Dog,Jake,Jake,2,Golden Retriever/Husky/Shepherd/Jack Russell 
7/21/2019 18:08:03,Dog,Gail,Gail,3,Treeing Tennessee Brindle 
7/21/2019 18:08:28,Dog,Lucky,Luck,3,Jack a bee (half jack russell
,,, Luckboy, we think (he’s a rescue),beagle mix
,,, Luck duck,,
7/21/2019 18:08:34,Dog,Darcy,Darcy,3,Working cocker spaniel
7/21/2019 18:08:50,Dog,Luke Anakin,Luke,9,Golden Retriever
7/21/2019 18:08:52,Dog,Sadie,Sadie Pot Pie,10,Mixed Breed
7/21/2019 18:09:01,Dog,Hazel Nut,Hazel,3,Australian Shepherd
7/21/2019 18:09:12,Dog,Bourbon,Bourbon,3,Mixed Breed
7/21/2019 18:09:19,Dog,Riley,Smiley Riley,13,Golden Retriever
7/21/2019 18:09:22,Dog,Mr. Nubs,Mr. Nubs,16,Corgi
7/21/2019 18:09:42,Dog,Bentley,Bentley boy,3,Australian labradoodle 
7/21/2019 18:09:46,Dog,Fenway,Fenway,6,Boston terrier
7/21/2019 18:09:47,Dog,Benelli ,Name,3,Black Lab
7/21/2019 18:09:51,Dog,Washington the Destroyer,Wash,6.5,Chocolate lab
7/21/2019 18:09:52,Dog,Philomenos,Philo,9,Portuguese Water Dog 
,,, Phil,,
,,, phi phi,,
7/21/2019 18:09:58,Dog,Stampy Wiggles ,Stampy,10,Goldendoodle
7/21/2019 18:09:58,Dog,Jasmine,Jaz ,5,Golden Retriever
7/21/2019 18:10:00,Dog,Emma,Puppy,1,Chocolate lab
7/21/2019 18:10:01,Dog,Winston,Wintin,4,Wire-haired mutt
7/21/2019 18:10:02,Dog,Torchenay Be Cool,Max,13,Beagle
7/21/2019 18:10:17,Dog,Brutus ,Brutus ,7,Yellow Labrador Retriever
7/21/2019 18:10:31,Dog,Lucu,Puppy,7,Black lab/ blue heeler
7/21/2019 18:10:32,Dog,Mosephine,Mo,1,Standard Poodle
7/21/2019 18:10:32,Dog,Abegeweit,Abi (Abby),16,Fox terrier mix
7/21/2019 18:10:34,Dog,Kramer,Kray Kray,12,Golden Retriever
7/21/2019 18:10:51,Dog,Rusty,Wusty,5,Golden Lab
7/21/2019 18:10:51,Dog,Demi,Dems,6,Mixed (dachshund
,,, demi dog,, basenji
,,, the queen,,Australian Cattle Dog
,,,,,Rescue
7/21/2019 18:10:54,Dog,Alfredog,Alfie,11,Mutt - mostly Jack Russell
7/21/2019 18:10:59,Dog,Shorty Do-Op,Shorty,15,Mutt
7/21/2019 18:11:04,Dog,Penny,Penny,3,Australian Shepherd
7/21/2019 18:11:05,Dog,Tuxedo,Tux,18 months,Schnauzer 
7/21/2019 18:11:10,Dog,Sally,Sally,7,Golden Retriever
7/21/2019 18:11:12,Dog,Lola,Lola,6,Mixed Breed
7/21/2019 18:11:16,Dog,Gustav,Goober,10,German Shepherd mix
7/21/2019 18:11:25,Dog,Poppy Sue Galushka Clementine,Poppy,4,Treeing Walker Coonhound
7/21/2019 18:11:34,Dog,Duke,Duke,3,Australian Shepherd
7/21/2019 18:11:39,Dog,Millie,Mills,7,Jack Russell Terrier
7/21/2019 18:11:39,Dog,Sir Winston of Weston ,Winston ,10,Golden Retriever
,,, Winnie,,
7/21/2019 18:11:50,Dog,Angus OgDog Dogga McDuff,Angus,Deceased at 13,West Highland White Terrier
7/21/2019 18:12:04,Dog,Lady,Doofus,6,Chocolate lab mix
7/21/2019 18:12:07,Dog,Maggie Peaches,Maggie,13,Bichon Poodle
7/21/2019 18:12:13,Dog,Camembert,Cami,5,Bernese Mountain Dog
7/21/2019 18:12:16,Dog,Shadow,Shadow,3,Saluki
7/21/2019 18:12:21,Dog,Archer,archer,3,Golden Retriever
7/21/2019 18:12:24,Dog,Robbie,robz,1.5,Whippet
7/21/2019 18:12:52,Dog,Roxy,Roxy,8,Pitbull
7/21/2019 18:12:54,Dog,Ashton Sebastian,Ash,9,Pitbull mix
7/21/2019 18:12:54,Dog,Maximum,Max,10,Puggle
7/21/2019 18:12:57,Dog,Rosalind Pearl,Rosie,5,Border collie mix
7/21/2019 18:13:09,Dog,Chyna,Chyna,16,Little terrier poodle mix
7/21/2019 18:13:36,Dog,Sadie,Sadie,4,Cockapoo
7/21/2019 18:13:43,Dog,Flynn,Flynn,11 months,Corgi
7/21/2019 18:14:00,Dog,Loki,Loki,3,
7/21/2019 18:14:22,Dog,Trixie,Trix,3,"Toy Fox Terrier / Yorkie (""Torkie"")"
7/21/2019 18:14:43,Dog,Birdy ,Birdy ,4,Pomeranian mix
7/21/2019 18:15:22,Dog,Vince,Vincie ,11,Yellow lab
7/21/2019 18:15:41,Dog,Cobert ,Cob ,2,Dalmatian
7/21/2019 18:16:03,Dog,Jack Daniel,Jackie,3,Chocolate lab
7/21/2019 18:16:06,Dog,Crinkle,Crinkle,7,Mongrel
7/21/2019 18:16:07,Dog,Maisy Lynn Marie,Mimsy,6,beagle mix
7/21/2019 18:16:07,Dog,Beemer,Beemo,7,Aussie doodle
7/21/2019 18:16:13,Dog,Mac,Mac,5,Boxer/mastiff mix
7/21/2019 18:16:14,Dog,Maximillion Taxi ,Max,9,Lab mix
7/21/2019 18:16:17,Dog,Krypto,Dinky,6,Golden Retriever
7/21/2019 18:16:26,Dog,Bo Jangles,Bo,9-10 mo,Husky/Boxer
7/21/2019 18:16:39,Dog,Brixton,Brixie ,1,Golden Retriever
7/21/2019 18:16:43,Dog,Jasper,Jasper,10,Miniature labradoodle
7/21/2019 18:16:59,Dog,Shadow Montgomery,Lovebug,2,Golden Retriever
7/21/2019 18:17:12,Dog,Scout,Scout,14,Beagle
7/21/2019 18:17:20,Dog,Libby,Libby,12,Golden Retriever
7/21/2019 18:17:22,Dog,Jasper Tucker Oaf,Jasper,11,Black Lab
7/21/2019 18:17:25,Dog,Tazmanian Devik,Taz,9,Mutt
7/21/2019 18:17:34,Dog,Iggy Pup,Iggy,4 months,Miniature double doodle 
7/21/2019 18:17:37,Dog,Lilly,Lilly,12,Labrador Retriever
7/21/2019 18:17:39,Dog,Furrdinand ,Furrdie ,10, Pomeranian 
7/21/2019 18:17:43,Dog,Monster Mayhem,Doodle,8,Dachshund 
7/21/2019 18:17:47,Dog,Watson,Watson ,6,Labrador Retriever
7/21/2019 18:17:47,Dog,Shine,Shine,12,Hound mix
7/21/2019 18:17:52,Dog,Freeney Schnurpel,Freenster,13,Shih Tzu
7/21/2019 18:18:04,Dog,Bella Jean,Bella,No longer with us :(,Chihuahua/yorkie mix 
7/21/2019 18:18:08,Dog,Ratchet,Ratchie,5,Pug/Dachshund 
7/21/2019 18:18:11,Dog,Clifford,Clifford,4,Clumber spaniel
7/21/2019 18:18:16,Dog,Goose,Gooby,1,Rat Terrier Mix
7/21/2019 18:18:24,Dog,Magnus,Munchkin,7,Cairn Terrier
7/21/2019 18:18:25,Dog,Shiloh’s Dixie Skye,Dixie ,8,Mini Schnauzer
7/21/2019 18:18:29,Dog,Bootsie,BootsToots,17,Terrier mix
7/21/2019 18:18:35,Dog,Mindy ,Mindy,10,Black Lab
7/21/2019 18:18:43,Dog,Spock,Spock,7,Mixed Breed
7/21/2019 18:18:44,Dog,Merlin,Mer-dog,12,Chesapeake bay retriever 
7/21/2019 18:18:51,Dog,Sylvia Plath,Sylvia,3,German Shorthaired Pointer
7/21/2019 18:18:51,Dog,Smokey Neyland,Smo ,9,Schnoodle 
7/21/2019 18:18:51,Dog,Rufus Tee Hilderbrec,Rufus,11,Shih Tzu
7/21/2019 18:18:52,Dog,Baillie,B or B-Dog,7,Border Collie
7/21/2019 18:18:53,Dog,Sebastian,Bash,4 months,Maltipoo
7/21/2019 18:19:10,Dog,Tess,Tess,13,Border collie cross
7/21/2019 18:19:15,Dog,Zorro,Z,8,Long-haired Chihuahua
7/21/2019 18:19:17,Dog,Deacon ,Deac ,11,Chesapeake bay retriever 
7/21/2019 18:19:54,Dog,Robert Ferguson Mooney,Bobby,6,Golden Retriever
7/21/2019 18:19:58,Dog,James buchanan barnes,Bucky,2,
7/21/2019 18:20:04,Dog,Buddy Boy,Buddy,16,Cocker Spaniel
7/21/2019 18:20:26,Dog,Belle Watling,Belle,2,Maltese
7/21/2019 18:20:32,Dog,Magladon wagladon,Maggie,1,Old English sheepdog
7/21/2019 18:20:38,Dog,Bella,Bella,14,
7/21/2019 18:20:53,Dog,Sophie,Sophie,11,Golden Retriever
7/21/2019 18:20:57,Dog,Stewart Little,Stewie ,16, Pomeranian 
7/21/2019 18:21:00,Dog,Sadie,Sadie,11 months,Golden Retriever
7/21/2019 18:21:01,Dog,Ashley Wilkes,Ash,11,Yorkie Poodle
7/21/2019 18:21:07,Dog,Oliver Jospeh Andrew,Oliver,11-12 (deceased),Golden mix 
7/21/2019 18:21:15,Dog,Rhett,Rhetters,12,English Springer Spaniel
7/21/2019 18:21:23,Dog,Lily,Lil,5 years,Golden Retriever
7/21/2019 18:21:35,Dog,Cookie,CookieMonster,8,Shih Tzu
7/21/2019 18:21:36,Dog,Brutus ,Brutus,10,Great white pyrenees/yellow lab
7/21/2019 18:21:41,Dog,Ralph ,Ralph ,4 months,Golden Retriever
7/21/2019 18:21:44,Dog,Kurt,Kurtis,2,Black mouth cur 
7/21/2019 18:21:46,Dog,Lyra Cristina,Lyra,9 mos,Mixed Breed
7/21/2019 18:21:52,Dog,Bailey bear,Bay girl,6,Lab and German shepherd mix
7/21/2019 18:21:54,Dog,Brooklyn,Brooklyn,Two,Beagle
7/21/2019 18:21:58,Dog,Champion Craig,Champ,14,beagle mix
7/21/2019 18:22:03,Dog,Lennox,Lenny ,4,Shih Tzu
7/21/2019 18:22:11,Dog,Sullivan Otis,Sulley ,10,Catahoula Leopard
7/21/2019 18:22:18,Dog,Hank,Hanky panky,1,Black mouth cur 
7/21/2019 18:22:20,Dog,Allie Nichols,Allie,5,Mutt
7/21/2019 18:22:22,Dog,Lila,Lila,5,Newfoundland
7/21/2019 18:22:28,Dog,Liberty Louise,Libby,9,English Springer Spaniel
